2014-11-23 16:20:07+0800 [scrapy] INFO: Scrapy 0.24.4 started (bot: nba)
2014-11-23 16:20:07+0800 [scrapy] INFO: Optional features available: ssl, http11
2014-11-23 16:20:07+0800 [scrapy] INFO: Overridden settings: {'NEWSPIDER_MODULE': 'nba.spiders', 'SPIDER_MODULES': ['nba.spiders'], 'LOG_FILE': 'scrapy.log', 'LOG_LEVEL': 'INFO', 'BOT_NAME': 'nba'}
2014-11-23 16:20:07+0800 [scrapy] INFO: Enabled extensions: LogStats, TelnetConsole, CloseSpider, WebService, CoreStats, SpiderState
2014-11-23 16:20:07+0800 [scrapy] INFO: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, MetaRefreshMiddleware, HttpCompressionMiddleware, RedirectMiddleware, CookiesMiddleware, ChunkedTransferMiddleware, DownloaderStats
2014-11-23 16:20:07+0800 [scrapy] INFO: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2014-11-23 16:20:07+0800 [scrapy] INFO: Connected to MongoDB mongodb://localhost:27017, using "scrapy/nba"
2014-11-23 16:20:07+0800 [scrapy] INFO: Enabled item pipelines: MongoDBPipeline
2014-11-23 16:20:07+0800 [nbaspider] INFO: Spider opened
2014-11-23 16:20:07+0800 [nbaspider] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2014-11-23 16:20:08+0800 [scrapy] ERROR: 0# 7
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 18
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 18
2014-11-23 16:20:08+0800 [scrapy] ERROR: 1# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 1# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 1# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2	3
	
2014-11-23 16:20:08+0800 [scrapy] ERROR: 0# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 18
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 18
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 18
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 18
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 18
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 18
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 18
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 18
2014-11-23 16:20:08+0800 [scrapy] ERROR: 1# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 8	1
	
2014-11-23 16:20:08+0800 [scrapy] ERROR: 0# 5
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 2# 18
2014-11-23 16:20:08+0800 [scrapy] ERROR: 1# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 1# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 1# 17
2014-11-23 16:20:08+0800 [scrapy] ERROR: 1	3
	
2014-11-23 16:20:09+0800 [scrapy] ERROR: 0# 7
2014-11-23 16:20:09+0800 [scrapy] ERROR: 2# 17
